category_id,category_name,url,status_code,content_type,parseable,priority,notes
5,ОПЕРАЦИИ И СРАЖЕНИЯ,https://pamyat-naroda.ru/ops,,,api,HIGH,error: RetryError[<Future at 0x23f8f471f00 state=finished raised Co
5,ОПЕРАЦИИ И СРАЖЕНИЯ,http://militera.lib.ru/enc/enc_vov1985/spravochnik.html,404,text/html,dead,HIGH,
5,ОПЕРАЦИИ И СРАЖЕНИЯ,https://ru.wikipedia.org/wiki/Список_крупнейших_танковых_сражений_Второй_мировой_войны,404,text/html,dead,MED,
5,ОПЕРАЦИИ И СРАЖЕНИЯ,https://warspot.ru/categories/2-operatsii,,,dead,LOW,error: RetryError[<Future at 0x23f8f470cd0 state=finished raised Co

6,ВОИНСКИЕ ФОРМИРОВАНИЯ,http://army.armor.photos/hist/front-rkka.php,200,text/html,requests+bs4,LOW,
6,ВОИНСКИЕ ФОРМИРОВАНИЯ,http://rkka.ru/hist/f.htm,200,text/html,requests+bs4,HIGH,
6,ВОИНСКИЕ ФОРМИРОВАНИЯ,http://rkka.ru/hist/a.htm,200,text/html,requests+bs4,HIGH,
6,ВОИНСКИЕ ФОРМИРОВАНИЯ,http://rkka.ru/guard.htm,200,text/html,requests+bs4,HIGH,
6,ВОИНСКИЕ ФОРМИРОВАНИЯ,https://en.wikipedia.org/wiki/List_of_Soviet_Army_units_and_formations_1941–1945,404,text/html,dead,MED,
6,ВОИНСКИЕ ФОРМИРОВАНИЯ,https://en.wikipedia.org/wiki/Army_groups_of_the_German_Army,404,text/html,dead,MED,
6,ВОИНСКИЕ ФОРМИРОВАНИЯ,https://en.wikipedia.org/wiki/List_of_Waffen-SS_divisions,200,text/html,requests+bs4,MED,
6,ВОИНСКИЕ ФОРМИРОВАНИЯ,https://en.wikipedia.org/wiki/Fallschirmjäger,200,text/html,requests+bs4,MED,
6,ВОИНСКИЕ ФОРМИРОВАНИЯ,https://en.wikipedia.org/wiki/Volkssturm,200,text/html,requests+bs4,MED,

7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Категория:Сражения_и_операции_Великой_Отечественной_войны,404,text/html,dead,MED,
7,ТОПОНИМЫ,https://en.wikipedia.org/wiki/Eastern_Front_World_War_II,404,text/html,dead,MED,
7,ТОПОНИМЫ,https://volgohist.livejournal.com,200,text/html,requests+bs4,LOW,
7,ТОПОНИМЫ,http://waralbum.ru,200,text/html,requests+bs4,LOW,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Приграничное_сражение_в_Литве_и_Латвии,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Расейняйское_сражение,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/3-я_армия_(СССР),200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/13-я_армия_(СССР),200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Лепельский_контрудар,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/5-я_армия_(1-го_формирования),200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Львовско-Луцкая_оборонительная_операция,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/12-я_армия_(СССР),200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Стратегическая_оборонительная_операция_в_Заполярье_и_Карелии#Операция_на_мурманском_направлении,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Стратегическая_оборонительная_операция_в_Заполярье_и_Карелии#Операция_на_кандалакшском_направлении,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Стратегическая_оборонительная_операция_в_Заполярье_и_Карелии#Операция_на_кестеньгском_направлении,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Выборгско-Кексгольмская_оборонительная_операция,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Стратегическая_оборонительная_операция_в_Заполярье_и_Карелии#Операция_на_ухтинском_направлении,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Стратегическая_оборонительная_операция_в_Заполярье_и_Карелии#Операция_на_ругозерском_направлении,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Стратегическая_оборонительная_операция_в_Заполярье_и_Карелии#Операция_на_петрозаводском_и_олонецком_направлениях,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/6-я_армия_(СССР),200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Уманская_оборонительная_операция,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Таллинская_оборонительная_операция,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Кингисеппско-Лужская_оборонительная_операция,200,text/html,requests+bs4,MED,
